ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.87886,310.96,1.586170,0.021228,0.000420,1.564942,0.000679,0.018138,0.001824
3.87926,310.99,1.588321,0.020945,0.000421,1.567375,0.000680,0.017859,0.001817
3.87966,311.02,1.590484,0.020669,0.000422,1.569815,0.000682,0.017588,0.001811
3.88006,311.06,1.592659,0.020400,0.000423,1.572259,0.000683,0.017323,0.001804
3.88046,311.09,1.594846,0.020138,0.000423,1.574709,0.000685,0.017065,0.001797
3.88086,311.12,1.597045,0.019882,0.000424,1.577164,0.000686,0.016813,0.001791
3.88126,311.15,1.599256,0.019631,0.000425,1.579624,0.000688,0.016567,0.001785
3.88166,311.19,1.601477,0.019387,0.000426,1.582090,0.000690,0.016327,0.001778
3.88206,311.22,1.603710,0.019149,0.000426,1.584562,0.000691,0.016093,0.001772
3.88246,311.25,1.605954,0.018916,0.000427,1.587038,0.000693,0.015864,0.001765
3.88286,311.28,1.608209,0.018688,0.000428,1.589521,0.000694,0.015640,0.001759
3.88326,311.31,1.610474,0.018465,0.000429,1.592008,0.000696,0.015422,0.001753
3.88366,311.35,1.612749,0.018248,0.000429,1.594501,0.000698,0.015208,0.001746
3.88406,311.38,1.615035,0.018035,0.000430,1.597000,0.000699,0.015000,0.001740
3.88446,311.41,1.617332,0.017827,0.000431,1.599504,0.000701,0.014795,0.001734
3.88486,311.44,1.619638,0.017624,0.000432,1.602014,0.000702,0.014596,0.001728
3.88526,311.47,1.621954,0.017425,0.000433,1.604529,0.000704,0.014401,0.001722
3.88566,311.51,1.624280,0.017231,0.000433,1.607050,0.000706,0.014210,0.001716
3.88606,311.54,1.626616,0.017040,0.000434,1.609576,0.000707,0.014023,0.001710
3.88646,311.57,1.628962,0.016854,0.000435,1.612108,0.000709,0.013841,0.001704
3.88686,311.60,1.631317,0.016671,0.000436,1.614646,0.000711,0.013662,0.001698
3.88726,311.63,1.633681,0.016493,0.000436,1.617189,0.000712,0.013487,0.001692
3.88766,311.67,1.636055,0.016318,0.000437,1.619737,0.000714,0.013315,0.001686
3.88806,311.70,1.638438,0.016146,0.000438,1.622292,0.000716,0.013147,0.001680
